title,content,date,status,locale,urltitle,url,comment_status,ptyp_ID,pst_ID,tags,priority,excerpt,views,datedeadline,featured,order,titletag,double1,double2,double3,double4,double5,varchar1,varchar2,varchar3
"Les tonnerres de Brest 2012","<img width='150' style='display: block; float: left; margin: 10px;' src='/images/upload/portfolio_img/20118153___redimmensionn__.jpg' />  Les 20 ans des fêtes maritimes de Brest se dérouleront du 13 au 19 juillet 2012.<br /><br />20 ans que cette événement va vibrer les quais, onduler la rade de cette cité océane, illuminée par les plus belles flottiles du patrimoine maritime mondial.<br /><br />Plus d'informations sur <a target='_blank' href='http://www.lestonnerresdebrest2012.fr'>l'événement et son programme</a><br /><br> Plus d'informations sur <a target='_blank' href='http://www.ethic-etapes.fr/les-destinations/brest_brest.77.12.html'>l'éthic étapes de Brest</a>, situé en plein centre ville.",2012-03-01,published,de_DE,les-tonnerres-de-brest-2012,,open,1,,,3," Les 20 ans des fêtes maritimes de Brest se dérouleront du 13 au 19 juillet 2012.<br /><br />20 ans que cette événement va vibrer les quais, onduler la rade de cette cité océane, illuminée par les plus belles flottiles du patrimoine maritime mondial.<br /><br />Plus d'informations sur <a target='_blank' href='http://www.lestonnerresdebrest2012.fr'>l'événement et son programme</a><br /><br> Plus d'informations sur <a target='_blank' href='http://www.ethic-etapes.fr/les-destinations/brest_brest.77.12.html'>l'éthic étapes de Brest</a>, situé en plein centre ville.",0,,0,,,,,,,,,,
"Traces de vie","<img width='150' style='display: block; float: left; margin: 10px;' src='/images/upload/portfolio_img/media_e94f0bcd_977f_4081_8575_0b61c72b309b.jpg' /> Chaque année en novembre, Traces de Vies propose une semaine d?immersion dans un cinéma qui sait être singulier et multiple. L?inépuisable surprise de la diversité des formes filmiques, des écritures, des récits renouvelle l?identité et la richesse de chaque édition. <br /><br />Auditorium ESC et autres lieux<br />63000 CLERMONT-FERRAND <br /><br />Tél. + 33 (0)4 73 69 99 02 <br />Site internet : www.itsra.net<br /><br />",2011-11-14,published,de_DE,traces-de-vie,,open,1,,,3,"Chaque année en novembre, Traces de Vies propose une semaine d?immersion dans un cinéma qui sait être singulier et multiple. L?inépuisable surprise de la diversité des formes filmiques, des écritures, des récits renouvelle l?identité et la richesse de chaque édition. <br /><br />Auditorium ESC et autres lieux<br />63000 CLERMONT-FERRAND <br /><br />Tél. + 33 (0)4 73 69 99 02 <br />Site internet : www.itsra.net<br /><br />",0,,0,,,,,,,,,,
"12e rendez-vous du carnet de voyages","<img width='150' style='display: block; float: left; margin: 10px;' src='/images/upload/portfolio_img/essai_bandeau.jpg' /> Trois journées d&rsquo;exception dédiées à l&rsquo;échange et aux rencontres avec ces voyageurs étonnants, aux expériences toutes plus variées les unes que les autres. Dans le cadre du développement international de la manifestation, le « Rendez-vous » recevra cette année, une trentaine d&rsquo;auteurs étrangers qui proposent d&rsquo;autres approches du carnet de voyage. « Il Faut Aller Voir », association organisatrice de l'événement, &oelig;uvre ainsi par ce biais, à la mise en place d'un véritable réseau inter-culturel entre les artistes et écrivains nationaux et internationaux.<br /><br />Polydôme<br />Place du 1er mai<br />63000 CLERMONT-FERRAND <br /><br />Tél. + 33 (0)4 73 90 80 97<br />Site internet : www.biennale-carnetdevoyage.com<br />",2011-11-08,published,de_DE,12e-rendez-vous-du-carnet-de-voyages,,open,1,,,3,"Trois journées d&rsquo;exception dédiées à l&rsquo;échange et aux rencontres avec ces voyageurs étonnants, aux expériences toutes plus variées les unes que les autres. Dans le cadre du développement international de la manifestation, le « Rendez-vous » recevra cette année, une trentaine d&rsquo;auteurs étrangers qui proposent d&rsquo;autres approches du carnet de voyage. « Il Faut Aller Voir », association organisatrice de l'événement, &oelig;uvre ainsi par ce biais, à la mise en place d'un véritable réseau inter-culturel entre les artistes et écrivains nationaux et internationaux.<br /><br />Polydôme<br />Place du 1er mai<br />63000 CLERMONT-FERRAND <br /><br />Tél. + 33 (0)4 73 90 80 97<br />Site internet : www.biennale-carnetdevoyage.com<br />",0,,0,,,,,,,,,,
"Un nouveau site web pour l'éthic étapes de Poissy"," l'éthic étapes de Poissy se dote d'un nouveau site internet. Nous vous invitons à le découvrir dès à présent -  www.rijescale.fr",2011-11-08,published,de_DE,un-nouveau-site-web-pour-l-thic-tapes-de-poissy,,open,1,,,3,"l'éthic étapes de Poissy se dote d'un nouveau site internet. Nous vous invitons à le découvrir dès à présent -  www.rijescale.fr",0,,0,,,,,,,,,,
"La chine s'invite à Home Dôme","<img width='150' style='display: block; float: left; margin: 10px;' src='/images/upload/portfolio_img/img_4498.jpg' /> <strong>Vendredi 11 novembre </strong><br />- Karaoké franco-chinois organisé par l'équipe d'animation du Home Dôme et l'Association des Chercheurs et elèves Chinois de Clermont-Ferrand)<br /><br />Lieu : Home Dôme (12 place de Regensburg)<br />Heure : 20h00 - 23h00 / Entrée libre<br /><br /><strong>Samedi 12 novembre </strong><br />- La Chine s'invite au Home Dôme. Après-midi multi activités proposé par l'équipe d'animation du Home Dôme, l'Association Amitié Auvergne Chine, le Groupe Auvergnat de Go, l'Association des Chercheurs et Elèves Chinois de Clermont-Ferrand et l'Institut Confucius.<br /><br />Lieu : Home Dôme (12 place de Regensburg)<br />Heure : 14h00 - 18h00 / Entrée libre<br /><br />14h00 : début des animations jeux de Go proposé par le Groupe Auvergnat de Go, autres jeux chinois proposé par l'Institut Confucius et l'Association des Chercheurs et des Elèves Chinois de Clermont-Ferrand.<br /><br />14h30-15h30 : atelier d'écriture chinoise proposé par Chantal Chouvel de l'association Amitiés Auvergne Chine et atelier calligraphie proposé par Yang Ge, professeur de calligraphie à l'Institut Confucius (places limitées, merci de réserver auprès de l'Institut Confucius).<br /><br />15h00 : début de l'atelier cérémonie du thé.<br /><br />16h00-17h00 : atelier d'écriture chinoise proposé par Chantal Chouvel et atelier calligraphie proposé par Yang Ge (places limitées, merci de réserver auprès de l'IC).<br /><br />17h00 : remise de prix du concours d'écriture des collégiens et lycéens d?Auvergne.<br /><br />- Dîner chinois à partir de 19h : Table d'Hôme, Home Dôme.<br /><br />Plus d'informations : http://www.confucius-clermont-auvergne.org/<br /><br />programme complet : http://www.confucius-clermont-auvergne.org/semaine-culturelle-chinoise-0<br /><br />",2011-11-04,published,de_DE,la-chine-s-invite-home-dme,,open,1,,,3,"<strong>Vendredi 11 novembre </strong><br />- Karaoké franco-chinois organisé par l'équipe d'animation du Home Dôme et l'Association des Chercheurs et elèves Chinois de Clermont-Ferrand)<br /><br />Lieu : Home Dôme (12 place de Regensburg)<br />Heure : 20h00 - 23h00 / Entrée libre<br /><br /><strong>Samedi 12 novembre </strong><br />- La Chine s'invite au Home Dôme. Après-midi multi activités proposé par l'équipe d'animation du Home Dôme, l'Association Amitié Auvergne Chine, le Groupe Auvergnat de Go, l'Association des Chercheurs et Elèves Chinois de Clermont-Ferrand et l'Institut Confucius.<br /><br />Lieu : Home Dôme (12 place de Regensburg)<br />Heure : 14h00 - 18h00 / Entrée libre<br /><br />14h00 : début des animations jeux de Go proposé par le Groupe Auvergnat de Go, autres jeux chinois proposé par l'Institut Confucius et l'Association des Chercheurs et des Elèves Chinois de Clermont-Ferrand.<br /><br />14h30-15h30 : atelier d'écriture chinoise proposé par Chantal Chouvel de l'association Amitiés Auvergne Chine et atelier calligraphie proposé par Yang Ge, professeur de calligraphie à l'Institut Confucius (places limitées, merci de réserver auprès de l'Institut Confucius).<br /><br />15h00 : début de l'atelier cérémonie du thé.<br /><br />16h00-17h00 : atelier d'écriture chinoise proposé par Chantal Chouvel et atelier calligraphie proposé par Yang Ge (places limitées, merci de réserver auprès de l'IC).<br /><br />17h00 : remise de prix du concours d'écriture des collégiens et lycéens d?Auvergne.<br /><br />- Dîner chinois à partir de 19h : Table d'Hôme, Home Dôme.<br /><br />Plus d'informations : http://www.confucius-clermont-auvergne.org/<br /><br />programme complet : http://www.confucius-clermont-auvergne.org/semaine-culturelle-chinoise-0<br /><br />",0,,0,,,,,,,,,,
"Festival des musiques démesurées","<img width='150' style='display: block; float: left; margin: 10px;' src='/images/upload/portfolio_img/festival_musiques_demesurees.jpg' /> Le programme de cette 13ème édition évoquera de nombreux thèmes présents dans l'esprit et dans les oeuvres des artistes qui alimenteront la réflexion du public : Tchernobyl avec l'artiste Christophe Ruetsch, la nature lors de la soirée « Olivier Messiaen, Bernard Fort et les oiseaux », le paysage sonore de la ville avec le GMEA (Centre national de création musicale d'Albi), de nouveaux instruments réalisés à partir de matériaux recyclés avec la Compagnie Dédale et Lutherie urbaine, la dimension artisanale de l'art avec le piano préparé de John Cage, la relation particulière du musicien avec son instrument dans les oeuvres de Vincent Carinola, un répertoire vocal contemporain dans une présentation ludique avec Glossophonie, une ouverture sur l'Europe avec les compositeurs et artistes néerlandais, la création",2011-11-04,published,de_DE,festival-des-musiques-dmesures,,open,1,,,3,"Le programme de cette 13ème édition évoquera de nombreux thèmes présents dans l'esprit et dans les oeuvres des artistes qui alimenteront la réflexion du public : Tchernobyl avec l'artiste Christophe Ruetsch, la nature lors de la soirée « Olivier Messiaen, Bernard Fort et les oiseaux », le paysage sonore de la ville avec le GMEA (Centre national de création musicale d'Albi), de nouveaux instruments réalisés à partir de matériaux recyclés avec la Compagnie Dédale et Lutherie urbaine, la dimension artisanale de l'art avec le piano préparé de John Cage, la relation particulière du musicien avec son instrument dans les oeuvres de Vincent Carinola, un répertoire vocal contemporain dans une présentation ludique avec Glossophonie, une ouverture sur l'Europe avec les compositeurs et artistes néerlandais, la création",0,,0,,,,,,,,,,
"Tables rondes, 'entreprendre autrement' à Strasbourg","<img width='150' style='display: block; float: left; margin: 10px;' src='/images/upload/portfolio_img/table_ronde_strasbourg_entreprendre_autrement.jpg' /> Le 17 novembre 2011, le Ciarus vous accueille pour une journée 'entreprendre autrement' qui s'inscrit dans le cadre du mois de l&rsquo;Economie Sociale  et Solidaire.<br /> <br />Elle propose une série de tables rondes, construites sur une logique partenariale et participative. Ces tables rondes s&rsquo;adressent à un public d'entrepreneurs de tous horizons, issus aussi bien du secteur marchand, que social ou qu'institutionnel. <br />Une partie dédiée est organisée pour les étudiants et de demandeurs d'emploi.<br /><br />Organisation, management et projets seront déclinés à travers l'expérience de nos intervenants, qui au cours de leur parcours professionnel ont été amenés à prendre des responsabilités dans cet environnement spécifique.<br /><br />Resituer l'ESS dans le contexte économique global, être candidat dans une structure de l'ESS, la convention collective un cadre d'embauche, la formation continue, les métiers dans le réseau AJA, le management particulier dans les structures de l'ESS, le développement durable au service du développement de l'entreprise seront les thèmes abordés au cours des tables rondes.<br /> <br /> Un cocktail déjeunatoir, sous forme de concours de chefs vous permettra de découvrir les savoir-faire culinaire du Ciarus et de ceux de 5 autres structures. <br /><br />Dès le 21 octobre découvrez le site : http://www.lestablesrondes-aja.fr .<br />Inscriptions directement depuis le site ou par mail à promotion@aja.asso.fr.<br />",2011-10-24,published,de_DE,tables-rondes-entreprendre-autrement--strasbourg,,open,1,,,3,"Le 17 novembre 2011, le Ciarus vous accueille pour une journée 'entreprendre autrement' qui s'inscrit dans le cadre du mois de l&rsquo;Economie Sociale  et Solidaire.<br /> <br />Elle propose une série de tables rondes, construites sur une logique partenariale et participative. Ces tables rondes s&rsquo;adressent à un public d'entrepreneurs de tous horizons, issus aussi bien du secteur marchand, que social ou qu'institutionnel. <br />Une partie dédiée est organisée pour les étudiants et de demandeurs d'emploi.<br /><br />Organisation, management et projets seront déclinés à travers l'expérience de nos intervenants, qui au cours de leur parcours professionnel ont été amenés à prendre des responsabilités dans cet environnement spécifique.<br /><br />Resituer l'ESS dans le contexte économique global, être candidat dans une structure de l'ESS, la convention collective un cadre d'embauche, la formation continue, les métiers dans le réseau AJA, le management particulier dans les structures de l'ESS, le développement durable au service du développement de l'entreprise seront les thèmes abordés au cours des tables rondes.<br /> <br /> Un cocktail déjeunatoir, sous forme de concours de chefs vous permettra de découvrir les savoir-faire culinaire du Ciarus et de ceux de 5 autres structures. <br /><br />Dès le 21 octobre découvrez le site : http://www.lestablesrondes-aja.fr .<br />Inscriptions directement depuis le site ou par mail à promotion@aja.asso.fr.<br />",0,,0,,,,,,,,,,
"Des volontaires engagés pour la construction de l'Europe à l'éthic étapes de Strasbourg","<img width='150' style='display: block; float: left; margin: 10px;' src='/images/upload/portfolio_img/diplome_honneur_volontaire_construction_europe.jpg' />  Moussa et Kirsi représentant l'éthic étapes Ciarus se voient décerner le diplôme d&rsquo;honneur des 'volontaires engagés pour la construction de l&rsquo;Europe'.<br /><br />La remise des diplômes a eu lieu le 7 octobre dans les salons de l&rsquo;hôtel de ville de Strasbourg  en présence de Roland Ries, Maire de la ville, de Monsieur Salesny mandataire pour l&rsquo;Europe de Kolpingwerk International et de représentants des Institutions Européennes présentes à Strasbourg. <br />Les discours ont salué le travail de toute l&rsquo;équipe du Ciarus qui a été chaleureusement remerciée pour ses 25 années de collaboration et encouragée  à poursuivre son engagement envers les jeunes et la construction européenne.<br />",2011-10-19,published,de_DE,des-volontaires-engags-pour-la-construction-de-l-europe-l-thic-tapes-de-strasbourg,,open,1,,,3," Moussa et Kirsi représentant l'éthic étapes Ciarus se voient décerner le diplôme d&rsquo;honneur des 'volontaires engagés pour la construction de l&rsquo;Europe'.<br /><br />La remise des diplômes a eu lieu le 7 octobre dans les salons de l&rsquo;hôtel de ville de Strasbourg  en présence de Roland Ries, Maire de la ville, de Monsieur Salesny mandataire pour l&rsquo;Europe de Kolpingwerk International et de représentants des Institutions Européennes présentes à Strasbourg. <br />Les discours ont salué le travail de toute l&rsquo;équipe du Ciarus qui a été chaleureusement remerciée pour ses 25 années de collaboration et encouragée  à poursuivre son engagement envers les jeunes et la construction européenne.<br />",0,,0,,,,,,,,,,
"Fan du Parc d'Olhain?"," Rejoignez notre communauté pour vivre au quotidien l'actualité du parc d'olhain. Vos commentaires, l'agenda, les dernières offres...vivez au coeur du Parc d'Olhain.<br /><a target='_blank' href='https://www.facebook.com/pages/Parc-dOlhain/120150408051636'>La page fan du parc d'olhain</a>",2011-10-18,published,de_DE,fan-du-parc-d-olhain,,open,1,,,3,"Rejoignez notre communauté pour vivre au quotidien l'actualité du parc d'olhain. Vos commentaires, l'agenda, les dernières offres...vivez au coeur du Parc d'Olhain.<br /><a target='_blank' href='https://www.facebook.com/pages/Parc-dOlhain/120150408051636'>La page fan du parc d'olhain</a>",0,,0,,,,,,,,,,
"Expo Couleurs et lumières à Reims"," Cette exposition du musée des Beaux-arts s&rsquo;inscrit parfaitement dans le cadre du 800e anniversaire de la cathédrale et de l&rsquo;installation des vitraux de l&rsquo;artiste contemporain allemand, Imi Knoebel.<br /><br />Durant la période de l&rsquo;entre-deux-guerres, porteuse de traditions et d&rsquo;avant-gardes, la perception du vitrail va changer : le passage de vitrail de verrier à vitrail d&rsquo;artiste permet alors de constater une évolution des démarches de ces derniers entre couleur et non-couleur et de constater leurs interrogations concernant le rôle de la lumière qui devient parfois 'matériau' à part entière ? ce qui influencera les &oelig;uvres de certains d&rsquo;entre ? eux de l&rsquo;après-guerre à nos jours.<br /><br />Quelle place donnent-ils à la couleur et à la lumière au sein d&rsquo;architectures dédiées à l&rsquo;art sacré ?<br /><br />C&rsquo;est la question posée par les cinq sections que déclinera l&rsquo;exposition, du 15 octobre 2011 au 26 février 2012.<br /><br />Ce projet sera aussi l&rsquo;occasion de présenter les dernières acquisitions du musée ainsi que les dépôts très importants de vitraux provenant du FNAC.<br /><br />Sources: office de tourisme de Reims<br /><br />> cliquez ici pour obtenir <a target='_blank' href='http://www.reims.fr/'>plus d'informations sur cet événement:</a><br />> cliquez ici pour découvrir <a href='http://www.ethic-etapes.fr/les-destinations/reims_cis_de_champagne.77.10.html'>l'éthic étapes CIS de Champagne, en plein coeur de Reims</a><br  />",2011-10-17,published,de_DE,expo-couleurs-et-lumires-reims,,open,1,,,3,"Cette exposition du musée des Beaux-arts s&rsquo;inscrit parfaitement dans le cadre du 800e anniversaire de la cathédrale et de l&rsquo;installation des vitraux de l&rsquo;artiste contemporain allemand, Imi Knoebel.<br /><br />Durant la période de l&rsquo;entre-deux-guerres, porteuse de traditions et d&rsquo;avant-gardes, la perception du vitrail va changer : le passage de vitrail de verrier à vitrail d&rsquo;artiste permet alors de constater une évolution des démarches de ces derniers entre couleur et non-couleur et de constater leurs interrogations concernant le rôle de la lumière qui devient parfois 'matériau' à part entière ? ce qui influencera les &oelig;uvres de certains d&rsquo;entre ? eux de l&rsquo;après-guerre à nos jours.<br /><br />Quelle place donnent-ils à la couleur et à la lumière au sein d&rsquo;architectures dédiées à l&rsquo;art sacré ?<br /><br />C&rsquo;est la question posée par les cinq sections que déclinera l&rsquo;exposition, du 15 octobre 2011 au 26 février 2012.<br /><br />Ce projet sera aussi l&rsquo;occasion de présenter les dernières acquisitions du musée ainsi que les dépôts très importants de vitraux provenant du FNAC.<br /><br />Sources: office de tourisme de Reims<br /><br />> cliquez ici pour obtenir <a target='_blank' href='http://www.reims.fr/'>plus d'informations sur cet événement:</a><br />> cliquez ici pour découvrir <a href='http://www.ethic-etapes.fr/les-destinations/reims_cis_de_champagne.77.10.html'>l'éthic étapes CIS de Champagne, en plein coeur de Reims</a><br  />",0,,0,,,,,,,,,,
