title,content,date,status,locale,urltitle,url,comment_status,ptyp_ID,pst_ID,tags,priority,excerpt,views,datedeadline,featured,order,titletag,double1,double2,double3,double4,double5,varchar1,varchar2,varchar3
"Découvrir Paris... à Pied"," <img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_paris_star1.jpg' width='715' height='392' alt='' /><br /><br />Du nord au sud, d'est en ouest, l'éthic étapes La Résidence Internationale de Paris vous propose des itinéraires de randonnées originales et inoubliables pour découvrir Paris sous un nouvel angle.<br /><br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/randonnee_a_paris.27.108.html'>ce séjour rando urbain</a><br />",2013-08-01,published,en_US,934-dcouvrir-paris...-pied,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_paris_star1.jpg' width='715' height='392' alt='' /><br /><br />Du nord au sud, d'est en ouest, l'éthic étapes La Résidence Internationale de Paris vous propose des itinéraires de randonnées originales et inoubliables pour découvrir Paris sous un nouvel angle.<br /><br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/randonnee_a_paris.27.108.html'>ce séjour rando urbain</a><br />",0,,0,,,,,,,,,,
"Etape de la semaine: Besançon"," <img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_besancon2.jpg' width='715' height='392' alt='' /><br /><br />Se balader le long du Doubs, se replonger dans l'histoire de la Franche Comté au musée Comtois, découvrir la ville du haut de la citadelle Vauban, monument classé au patrimoine mondial de l'UNESCO? Les touristes ne s'ennuient pas à Besancon.<br /><br />> Plus d'infos sur <a href='http:// http://www.ethic-etapes.fr/les-destinations/besancon_centre_international_de_sejour_de_besancon.77.22.html'>l'éthic étapes CIS de Besançon</a>",2013-07-29,published,en_US,894-etape-de-la-semaine:-besanon,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_besancon2.jpg' width='715' height='392' alt='' /><br /><br />Se balader le long du Doubs, se replonger dans l'histoire de la Franche Comté au musée Comtois, découvrir la ville du haut de la citadelle Vauban, monument classé au patrimoine mondial de l'UNESCO? Les touristes ne s'ennuient pas à Besancon.<br /><br />> Plus d'infos sur <a href='http:// http://www.ethic-etapes.fr/les-destinations/besancon_centre_international_de_sejour_de_besancon.77.22.html'>l'éthic étapes CIS de Besançon</a>",0,,0,,,,,,,,,,
"Prêt pour un séjour volcanique?"," <img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_clermont_volcans.jpg' width='715' height='392' alt='' /><br /><br />Au c&oelig;ur de la Chaine des Puys d'Auvergne, l'éthic étapes Clair Matin se trouve à 2 pas de Vulcania et du Volcan de Lemptégy. Idéal pour un séjour volcanique.<br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/au_coeur_des_volcans_d_auvergne.27.186.html'>ce séjour au coeur des Volcans d'Auvergne</a><br  />",2013-07-25,published,en_US,932-prt-pour-un-sjour-volcanique,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_clermont_volcans.jpg' width='715' height='392' alt='' /><br /><br />Au c&oelig;ur de la Chaine des Puys d'Auvergne, l'éthic étapes Clair Matin se trouve à 2 pas de Vulcania et du Volcan de Lemptégy. Idéal pour un séjour volcanique.<br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/au_coeur_des_volcans_d_auvergne.27.186.html'>ce séjour au coeur des Volcans d'Auvergne</a><br  />",0,,0,,,,,,,,,,
"A l'assaut des sommets alpins"," <img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_valcenis_cyclotouriste.jpg' width='715' height='395' alt='' /><br /><br /><br />L'éthic étapes de Val Cenis vous accueille en Haute Maurienne, au carrefour d'itinéraires prestigieux dont le nom évoque immanquablement l'épopée du Tour de France : le col du Mont Cenis, le col de l'Iseran , le col du galibier , les cols de la Croix de Fer et du Glandon un peu plus en aval. Notre établissement pourra également vous conseiller pour des itinéraires plus confidentiels mais superbes comme la montée au Plan du Lac dans le Parc National...<br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/sejour_cyclosportifs.27.172.html'>ce séjour sportif de l'éthic étapes de Val Cenis</a><br /><br />",2013-07-22,published,en_US,930-a-l-assaut-des-sommets-alpins,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_valcenis_cyclotouriste.jpg' width='715' height='395' alt='' /><br /><br /><br />L'éthic étapes de Val Cenis vous accueille en Haute Maurienne, au carrefour d'itinéraires prestigieux dont le nom évoque immanquablement l'épopée du Tour de France : le col du Mont Cenis, le col de l'Iseran , le col du galibier , les cols de la Croix de Fer et du Glandon un peu plus en aval. Notre établissement pourra également vous conseiller pour des itinéraires plus confidentiels mais superbes comme la montée au Plan du Lac dans le Parc National...<br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/sejour_cyclosportifs.27.172.html'>ce séjour sportif de l'éthic étapes de Val Cenis</a><br /><br />",0,,0,,,,,,,,,,
"Amboise et la Vallée de la Loire"," <div style='text-align: center;'><img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_amboise.jpg' alt='' /></div><br />
<br /><br />
Situé sur une île, au coeur de la Vallée de la Loire et des châteaux prestigieux de l'Histoire Française, l'éthic étapes Charles Péguy à Amboise vous accueille pour découvrir la vallée de la Loire. Avec ses chambres, son restaurant et ses salles de réunion, il est idéal pour vos week-end découverte des châteaux de la Loire, séminaires...<br /><br />
<br /><br />
<a href='http://www.ethic-etapes.fr/les-destinations/amboise_charles_peguy.77.1351.html' target='_blank'>> Plus d'infos sur l'éthic étapes d'Amboise</a><br  />",2013-07-17,published,en_US,840-amboise-et-la-valle-de-la-loire,,open,1,,,3,"<div style='text-align: center;'><img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_amboise.jpg' alt='' /></div><br />
<br /><br />
Situé sur une île, au coeur de la Vallée de la Loire et des châteaux prestigieux de l'Histoire Française, l'éthic étapes Charles Péguy à Amboise vous accueille pour découvrir la vallée de la Loire. Avec ses chambres, son restaurant et ses salles de réunion, il est idéal pour vos week-end découverte des châteaux de la Loire, séminaires...<br /><br />
<br /><br />
<a href='http://www.ethic-etapes.fr/les-destinations/amboise_charles_peguy.77.1351.html' target='_blank'>> Plus d'infos sur l'éthic étapes d'Amboise</a><br  />",0,,0,,,,,,,,,,
"A deux pas du Futuroscope"," <img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_futuroscope.jpg' alt='' /><br /><br />Notre bon plan pour un séjour touristique au Futuroscope, c'est l'éthic étapes Archipel. Situé à moins de 10km du parc, il permet de profiter au mieux du Futuroscope tout en étant dans un cadre naturel.<br /><br />> Plus d'infos sur ce <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/futuroscope__parc_de_loisirs_st_cyr_-_2_nuits.27.122.html'>séjour au Futuroscope</a><br  />",2013-07-13,published,en_US,926-a-deux-pas-du-futuroscope,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_futuroscope.jpg' alt='' /><br /><br />Notre bon plan pour un séjour touristique au Futuroscope, c'est l'éthic étapes Archipel. Situé à moins de 10km du parc, il permet de profiter au mieux du Futuroscope tout en étant dans un cadre naturel.<br /><br />> Plus d'infos sur ce <a href='http://www.ethic-etapes.fr/a-chacun-son-sjour/tourisme-et-decouverte/sjours-touristiques-groupes/futuroscope__parc_de_loisirs_st_cyr_-_2_nuits.27.122.html'>séjour au Futuroscope</a><br  />",0,,0,,,,,,,,,,
"Les vieilles coques - Fête maritime à Concarneau"," <img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_concarneau2.jpg' width='715' height='392' alt='' /><br /><br />Cet été encore, le port de Concarneau sera le point de rassemblement de dizaines de vieux bateaux, à voile ou à moteur. Rendez vous le 13 juillet au Port de Concarneau. <br /><br />>  Plus d'infos sur<a href='http://www.ethic-etapes.fr/les-destinations/concarneau_concarneau.77.34.html'> l'éthic étapes de Concarneau</a><br /><br />",2013-07-10,published,en_US,928-les-vieilles-coques--fte-maritime-concarneau,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/fck/bandeau_concarneau2.jpg' width='715' height='392' alt='' /><br /><br />Cet été encore, le port de Concarneau sera le point de rassemblement de dizaines de vieux bateaux, à voile ou à moteur. Rendez vous le 13 juillet au Port de Concarneau. <br /><br />>  Plus d'infos sur<a href='http://www.ethic-etapes.fr/les-destinations/concarneau_concarneau.77.34.html'> l'éthic étapes de Concarneau</a><br /><br />",0,,0,,,,,,,,,,
"Etape de la semaine: La Somme"," <img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_peronne.jpg' alt='' /><br /><br />
<br /><br />
Niché au coeur de la vallée de la Somme, l'éthic étapes Les Remparts de Péronne bénéficie d'une situation idéale pour partir à la découverte d'un des hauts lieux du tourisme de mémoire. Et après une journée sur les traces de la bataille de la Somme, vous gouterez à la gastronomie picarde autour d'une table conviviale et généreuse.<br /><br />
<br /><br />
> Plus d'infos sur <a href='http://www.ethic-etapes.fr/les-destinations/peronne_auberge_des_remparts.77.1413.html'>l'éthic étapes de Péronne</a><br /><br />
<br />",2013-07-06,published,en_US,924-etape-de-la-semaine:-la-somme,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_peronne.jpg' alt='' /><br /><br />
<br /><br />
Niché au coeur de la vallée de la Somme, l'éthic étapes Les Remparts de Péronne bénéficie d'une situation idéale pour partir à la découverte d'un des hauts lieux du tourisme de mémoire. Et après une journée sur les traces de la bataille de la Somme, vous gouterez à la gastronomie picarde autour d'une table conviviale et généreuse.<br /><br />
<br /><br />
> Plus d'infos sur <a href='http://www.ethic-etapes.fr/les-destinations/peronne_auberge_des_remparts.77.1413.html'>l'éthic étapes de Péronne</a><br /><br />
<br />",0,,0,,,,,,,,,,
"Illumination du pont du Gard cet été","  <img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_anduze_pont_du_gard.jpg' alt='' /><br /><br />Pendant tout l'été, à la tombée de la nuit, le pont du Gard revêt son habit de lumière. Un spectacle de toute beauté à ne pas manquer. Et profitez en pour découvrir cette région aux portes des Cévennes.<br /><br />> Plus d'infos sur l'<a href='http://www.ethic-etapes.fr/les-destinations/anduze_val_de_l_hort.77.28.html'>éthic étapes d'Anduze</a>, situé à proximité du Pont du Gard <br  /><br />",2013-07-02,published,en_US,922-illumination-du-pont-du-gard-cet-t,,open,1,,,3," <img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_anduze_pont_du_gard.jpg' alt='' /><br /><br />Pendant tout l'été, à la tombée de la nuit, le pont du Gard revêt son habit de lumière. Un spectacle de toute beauté à ne pas manquer. Et profitez en pour découvrir cette région aux portes des Cévennes.<br /><br />> Plus d'infos sur l'<a href='http://www.ethic-etapes.fr/les-destinations/anduze_val_de_l_hort.77.28.html'>éthic étapes d'Anduze</a>, situé à proximité du Pont du Gard <br  /><br />",0,,0,,,,,,,,,,
"Etape de la semaine: La Sologne"," <img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_printemps_sologne.jpg' width='715' height='394' alt='' /><br /><br />En Sologne, à 2 heures de la capitale et à proximité des Châteaux de la Loire et de nombreux lieux insolites, l'éthic étapes Jean Monnet vous accueille toute l'année pour des séjours scolaires et sportifs, des formations ou des vacances<br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/les-destinations/romorantin_jean_monnet.77.19.html'>l'éthic étapes de Romorantin</a><br  />",2013-06-27,published,en_US,908-etape-de-la-semaine:-la-sologne,,open,1,,,3,"<img src='http://www.ethic-etapes.fr/images/upload/portfolio_img/bandeau_printemps_sologne.jpg' width='715' height='394' alt='' /><br /><br />En Sologne, à 2 heures de la capitale et à proximité des Châteaux de la Loire et de nombreux lieux insolites, l'éthic étapes Jean Monnet vous accueille toute l'année pour des séjours scolaires et sportifs, des formations ou des vacances<br /><br />> Plus d'infos sur <a href='http://www.ethic-etapes.fr/les-destinations/romorantin_jean_monnet.77.19.html'>l'éthic étapes de Romorantin</a><br  />",0,,0,,,,,,,,,,
